path,split,store_id,store_name,floor,floor_name,side,corridor_seq,needs_review,source_image
gallery/perfumery-f0-l/perfumery-f0-l_01.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160721.jpg
gallery/perfumery-f0-l/perfumery-f0-l_02.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160730.jpg
gallery/perfumery-f0-l/perfumery-f0-l_03.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160739.jpg
gallery/perfumery-f0-l/perfumery-f0-l_04.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160742.jpg
gallery/perfumery-f0-l/perfumery-f0-l_05.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160756.jpg
gallery/perfumery-f0-l/perfumery-f0-l_06.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160811.jpg
gallery/perfumery-f0-l/perfumery-f0-l_07.jpg,gallery,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160819.jpg
query/perfumery-f0-l/perfumery-f0-l_01.jpg,query,perfumery-f0-l,PERFUMERY,0,Ground,left,0,False,1st Left/20260709_160821.jpg
gallery/metro-f0-l/metro-f0-l_01.jpg,gallery,metro-f0-l,METRO,0,Ground,left,1,False,1st Left/20260709_160835.jpg
gallery/metro-f0-l/metro-f0-l_02.jpg,gallery,metro-f0-l,METRO,0,Ground,left,1,False,1st Left/20260709_160846.jpg
gallery/metro-f0-l/metro-f0-l_03.jpg,gallery,metro-f0-l,METRO,0,Ground,left,1,False,1st Left/20260709_160907.jpg
gallery/metro-f0-l/metro-f0-l_04.jpg,gallery,metro-f0-l,METRO,0,Ground,left,1,False,1st Left/20260709_160930.jpg
query/metro-f0-l/metro-f0-l_01.jpg,query,metro-f0-l,METRO,0,Ground,left,1,False,1st Left/20260709_160937.jpg
